isin,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_variable,ratio_other,ratio_pension,vpi,ratio_stock_in_equity,ratio_option_in_equity,log_tc_pe,salary_bt_pe,one_year_bonus_bt_pe,multi_year_bonus_bt_pe,total_equity_grants_bt_pe,stock_grants_bt_pe,option_grants_bt_pe,other_annual_bt_pe,total_comp_bt_pe,one_time_payment_bt_pe,pension_bt_pe,total_comp_pens_and_one_time_bt_pe,n_executives_median,index_score,ever_opted_out,year_count,year_min,year_max,company_shortname,company_name,index_listing_last,data_confidence
DE0006599905,0.22167067789811473,0.0,0.5331134130399275,0.22129913351307867,0.7694676959420625,0.01011970252920677,0.1247338362043457,3.498775510204082,1.0,0.0,7.915938567492538,930.25,0.0,1865.0,1092.8125,1092.8125,0.0,24.2,2740.1167857142855,0.0,473.5833333333333,3466.791666666667,6.0,1.0,1,16,2006,2021,Merck,Merck KGaA,DAX,high
DE0006602006,0.46397969144463347,0.24402905775664313,0.0026059442447823144,0.08065397833734587,0.509880643596134,0.03034366679103967,0.14892674297947522,1.086274378647432,1.0,0.0,7.338319588277852,706.0750250000001,393.92274999999995,3.2914285714285714,109.04095000000001,109.04095000000001,0.0,37.68985416666666,1537.339075,0.0,254.93961666666667,1908.3196333333333,4.0,0.0,0,16,2006,2021,GEA Group,GEA Group AG,MDAX,high
DE0006605009,0.7023977433004231,0.20451339915373765,0.0,0.0,0.20451339915373765,0.0930888575458392,0.5416078984485191,0.29116465863453816,0.0,0.0,5.469465622743866,166.0,48.333333333333336,0.0,0.0,0.0,0.0,22.0,236.33333333333334,0.0,128.0,364.3333333333333,3.0,0.0,0,1,2006,2006,Medion,MEDION AG,MDAX,very_low
DE0006632003,0.2570087812654163,0.1745677972921646,0.0,0.5417874994919811,0.7163552967841458,0.03268390112404041,0.06220518613929083,2.803445067900432,0.5994559667110276,0.4005440332889724,7.311844454508038,375.4276,261.05565,0.0,752.2207000000001,352.76121666666666,294.523225,39.810275000000004,1497.0641,250.0,78.5619,1840.30975,5.0,0.0,0,4,2017,2020,Morphosys,Morphosys AG,MDAX,low
DE0006764749,0.4747457242385869,0.4475447554822724,0.0,0.06581247647795097,0.525254275761413,0.0,0.0,1.1063907454960937,0.0,1.0,6.730779408512935,420.0,373.4266,0.0,64.84,0.0,64.84,0.0,836.8,0.0,0.0,971.5894000000001,5.0,0.0,0,5,2006,2010,Pfleiderer,Pfleiderer AG,MDAX,low
DE0006766504,0.3881226622559507,0.2934254840030218,0.21655921956445418,0.010014703379943285,0.5961781251025465,0.021114397454253586,0.21754191110404403,1.5360763197900498,0.5,0.0,6.71277275968556,359.45,265.68765,167.968875,7.8628,0.0,0.0,19.1781,822.7067999999999,0.0,192.36435,1062.7141000000001,4.5,0.0,1,16,2006,2021,Aurubis,Aurubis AG,MDAX,high
DE0006969603,0.32400225154107004,0.2727272727272727,0.0,0.4090298707981016,0.6759974738807506,0.0,0.0,2.0863974576271183,0.5,0.0,7.8654419206556625,700.0,866.6666666666666,0.0,938.4,0.0,0.0,0.0,2604.6616666666664,0.0,0.0,2604.6616666666664,5.0,0.0,1,13,2006,2021,Puma,Puma SE,DAX and MDAX,high
DE0007010803,0.5581395348837209,0.4418604651162791,0.0,0.0,0.4418604651162791,0.0,0.08670520231213873,0.7916666666666666,0.0,0.0,6.843216757844566,516.6666666666666,456.5,0.0,0.0,0.0,0.0,0.0,936.5,0.0,75.0,1075.0,4.0,0.0,1,13,2006,2021,Rational,Rational AG,MDAX,high
DE0007030009,0.2963293309068028,0.3645510894907231,0.17047337675323584,0.16417086850609258,0.6976134564290416,0.01012375679168694,0.20422879671575056,2.3541522180120182,1.0,0.0,7.601565873396089,601.8333333333333,807.0416666666667,321.75,334.20833333333337,334.20833333333337,0.0,24.375,2000.4166666666665,0.0,403.33333333333337,2278.833333333333,3.0,0.0,0,16,2006,2021,Rheinmetall,Rheinmetall AG,MDAX,high
DE0007037129,0.2921397020921097,0.3639799158945418,0.0,0.24843676499692013,0.6861449062960382,0.02136753833395091,0.1181562720926922,2.377517979212065,1.0,0.0,7.974547858998028,910.547619047619,990.0,0.0,625.0,625.0,0.0,61.92857142857143,2905.1,0.0,378.525,3158.5,5.0,1.0,0,16,2006,2021,RWE,RWE AG,DAX,high
DE0007042301,0.21363910681955342,0.0,0.7717996289424861,0.0,0.7794273594909862,0.00697786333012512,0.1248038624019312,3.643502824858757,0.0,1.0,6.943725522771368,241.66666666666666,0.0,718.8571428571429,0.0,0.0,0.0,7.222222222222222,1035.625,0.0,127.77777777777777,1279.0,6.0,0.0,1,11,2006,2016,Rhön-Klinikum,Rhön-Klinikum AG,MDAX,high
DE0007100000,0.234887431659943,0.20879150635457044,0.15805551930536638,0.3457728585601091,0.7153973618058471,0.05124045919650005,0.08585078520154431,3.1401259811125697,1.0,0.0,8.170311496460602,806.625,805.3194444444445,545.4375,1276.4375,1276.4375,0.0,177.75,3535.818888888889,0.0,290.875,3870.625,8.0,1.0,0,16,2006,2021,Daimler,Daimler AG,DAX,high
DE0007164600,0.1514026320898177,0.29529758109450643,0.0,0.36070416484435663,0.8065168060665544,0.030968777233887638,0.039683555537338204,5.249245305775852,1.0,0.0,8.349435912461956,674.0479166666667,1066.6325396825396,0.0,1675.4071428571428,1675.4071428571428,0.0,127.12777777777778,4231.920833333334,129.5808125,158.03333333333336,4943.216547619048,8.0,1.0,0,16,2006,2021,SAP,SAP SE,DAX,high
DE0007165607,0.4852941176470588,0.2687854710556186,0.06818661600168884,0.13344788087056128,0.45935828877005347,0.04623179227359088,0.09887005649717515,0.946556473829201,1.0,0.0,7.077709001782227,555.25,319.0,80.75,151.33333333333334,151.33333333333334,0.0,54.75,1184.25,0.0,107.5,1277.5,4.0,0.0,0,5,2017,2021,Sartorius,Sartorius AG,DAX and MDAX,low
DE0007221905,0.2038585582183124,0.35756766479358015,0.0,0.43857377698810746,0.7961414417816877,0.0,0.0,3.9140703268124577,0.23137186629526463,0.7686281337047354,7.368321667430777,346.25,586.4,0.0,742.8333333333334,110.75,632.0833333333334,0.0,1675.4833333333336,375.68333333333334,0.0,2051.1666666666665,5.5,0.0,0,2,2006,2007,Schwarz Pharma,Schwarz Pharma AG,MDAX,very_low
DE0007231326,0.5475559776089565,0.2078387734915925,0.0,0.23907236066997534,0.4469111341615678,0.005532888229475766,0.0,1.0129154444548794,1.0,0.0,7.260745568531795,739.325,420.25,0.0,340.4375,340.4375,0.0,11.1875,1511.2,10.9375,0.0,1522.1375,6.5,0.0,0,2,2020,2021,Sixt,Sixt SE,MDAX,very_low
DE0007235301,0.26366822468946705,0.2689752170881915,0.1037874513716951,0.33977470702544077,0.7357572097907362,0.0,0.30156499192996244,2.7948794626426205,0.32426121122625173,0.6757387887737483,7.323438403248975,429.0,452.46,141.385,524.2916666666667,154.25,349.075,0.0,1528.125,0.0,426.91666666666663,2442.2571428571428,5.0,0.0,0,8,2006,2013,SGL Carbon,SGL Carbon SE,MDAX,medium
DE0007236101,0.2765123118446582,0.3108785730717154,0.0,0.3218696630724084,0.6921469177419173,0.030591736006260674,0.16157324002740373,2.5053516789008414,1.0,0.0,8.169203877228409,960.7038636363636,1038.221888888889,0.0,1234.2232142857142,1234.2232142857142,0.0,104.66261111111112,3530.0187499999997,52.77777777777778,629.0,4628.715277777777,9.0,1.0,0,16,2006,2021,Siemens,Siemens AG,DAX,high
DE0007251803,0.5853935282905639,0.2221624179701616,0.019245861369971,0.0,0.3939736914113069,0.01602339877758138,0.0,0.6730065714285715,0.0,0.0,7.406508321513859,895.8473333333333,417.02366666666666,21.875,0.0,0.0,0.0,26.9755,1645.6666666666667,0.0,0.0,1714.2851999999998,4.0,0.0,0,13,2006,2018,Stada,STADA Arzneimittel AG,MDAX,high
DE0007257503,0.44373723294040135,0.3334619488498288,0.0,0.2084772637771385,0.5419392126269673,0.014323554432631346,0.11924475056847886,1.2239578120076369,1.0,0.0,7.5566670494186265,857.0,638.8333333333333,0.0,400.58333333333337,400.58333333333337,0.0,27.666666666666668,1924.0833333333335,0.0,228.58333333333331,2152.666666666667,4.5,0.0,0,2,2017,2018,Metro,Ceconomy AG,MDAX,very_low
DE0007297004,0.423469387755102,0.165,0.0,0.0,0.2109328358208955,0.20408163265306123,0.18620689655172415,0.6033266129032258,0.0,0.0,6.788302401134673,350.4,146.25,0.0,0.0,0.0,0.0,166.66666666666666,886.9047619047619,0.0,136.66666666666669,1046.4285714285716,5.0,0.0,1,12,2006,2017,Südzucker,Südzucker AG,MDAX,high
DE0007314007,0.4641350210970464,0.34810126582278483,0.0,0.0,0.520253164556962,0.018307905686546465,0.25063291139240507,1.1209090909090909,1.0,0.0,6.530877627725885,340.25,270.0,0.0,0.0,0.0,0.0,13.4,685.0,0.0,163.25,846.0,4.0,0.0,0,7,2006,2012,Heidelberger Druckmaschinen,Heidelberger Druckmaschinen AG,MDAX,medium
DE0007472060,0.437526697992311,0.16723622383596753,0.25053395984621957,0.0,0.4177701836821871,0.14470311832550192,0.1321016659547202,0.9548450085428363,0.0,0.0,7.758760544157663,1024.25,391.5,586.5,0.0,0.0,0.0,338.75,2341.0,36.25,309.25,2686.5,4.0,0.5,0,3,2017,2019,Wirecard,Wirecard AG,DAX,low
DE0007480204,0.41398865784499056,0.34307496823379924,0.0,0.0,0.542,0.06499133448873484,0.0,1.3055555555555556,1.0,0.0,6.280395838960195,234.0,175.0,0.0,0.0,0.0,0.0,37.5,533.0,0.0,0.0,533.0,2.0,0.0,0,13,2006,2018,Dt. Euroshop,Deutsche Euroshop AG,MDAX,high
DE0007493991,0.5972778351617462,0.1976610410363055,0.0,0.07125579520258013,0.3152636246895696,0.05918186219138292,0.0,0.527834126984127,1.0,0.0,7.289098444969891,840.0,284.0,0.0,98.75,82.697,0.0,123.0,1463.25,0.0,0.0,1463.25,3.0,0.0,1,7,2014,2021,Ströer,Ströer SE & Co. KGaA ,MDAX,medium
DE0007500001,0.30967071057192375,0.2799682264586944,0.0,0.37113808322824715,0.6691851490779105,0.035796199213630406,0.22739745811669554,2.1723751958809046,1.0,0.0,7.811643145664578,781.6666666666666,696.1666666666666,0.0,764.8571428571429,764.8571428571429,0.0,83.33333333333333,2468.184333333333,0.0,545.1666666666666,2926.75,6.0,1.0,0,15,2006,2021,ThyssenKrupp,ThyssenKrupp AG,MDAX,high
DE0007600801,0.322543433489219,0.6537669252963616,0.0,0.0,0.6631439871397387,0.014312707731387875,0.07626485194483981,2.133702597028978,1.0,0.0,6.858181301606718,363.0,560.0,0.0,0.0,0.0,0.0,15.0,950.9105,0.0,72.75,1023.66075,3.0,0.25,0,4,2006,2009,Altana,Altana AG,MDAX,low
DE0007664005,0.23398940676182584,0.18971811228459673,0.1761922525056267,0.028502980920397512,0.7359609873314799,0.012181219520008297,0.19918715501626785,3.155146446197858,1.0,0.0,8.470796930351128,1106.3909777777776,957.6032777777777,875.3888888888889,66.597975,0.0,0.0,57.18320833333333,4776.185416666667,0.0,929.1088833333333,6296.539333333333,9.0,1.0,0,16,2006,2021,Volkswagen,Volkswagen AG,DAX,high
DE0007667107,0.35587162395082383,0.6284176124797547,0.0,0.0,0.6284176124797547,0.016231440584787427,0.18301896610567536,1.786610360051006,0.0,0.0,6.960302970886079,362.86816666666664,662.049,0.0,0.0,0.0,0.0,17.92625,1053.0,0.0,192.18366666666668,1311.48075,2.0,0.0,0,8,2006,2013,Vossloh,Vossloh AG,MDAX,medium
DE0007856023,0.31465522388653816,0.34085827625992804,0.40701938403710014,0.04826823550618667,0.6853447761134619,0.0,0.08842498302783436,2.178081671895557,0.0,1.0,6.877572665544173,288.6666666666667,162.59279999999998,394.51099999999997,19.052736666666664,0.0,19.052736666666664,0.0,969.2683333333333,0.0,61.333333333333336,1131.0463333333335,3.0,0.0,0,11,2006,2016,ElringKlinger,ElringKlinger AG,MDAX,high
DE0008001009,0.40930976096559685,0.5753568489457702,0.0,0.0,0.5753568489457702,0.018026403267166872,0.31092515908443347,1.4056758568094103,0.0,0.0,6.865037549296983,440.4,550.8363636363637,0.0,0.0,0.0,0.0,18.01111111111111,957.1818181818181,0.0,297.61190909090914,1254.7936363636363,9.0,0.5,0,5,2006,2010,Deutsche Postbank,Deutsche Postbank AG,MDAX,low
DE0008019001,0.9117809498309528,0.032467532467532464,0.0,0.0,0.05106826472120896,0.03289536437671756,0.806239685728636,0.05878824235152969,0.0,0.0,6.2145880980221815,458.375,20.0,0.0,0.0,0.0,0.0,14.839285714285715,499.375,0.0,422.9,900.25,4.0,0.0,0,6,2014,2019,DEPFA,Deutsche Pfandbriefbank AG,MDAX,medium
DE0008027707,0.4410168219474069,0.4499435059082104,0.0,0.0,0.4499435059082104,0.10903967214438268,0.0,1.262993195742823,0.0,0.0,6.725063125971461,374.5454545454545,446.9642857142857,0.0,0.0,0.0,0.0,79.3,884.3227272727272,123.34285714285714,0.0,1129.4642857142858,8.5,0.75,0,4,2006,2009,Hypo Real Estate,Hypo Real Estate Holding AG,MDAX,low
DE0008232125,0.42307098754642947,0.20523172516891522,0.040533681924254245,0.2098447047402584,0.5228327076098538,0.050114265122880156,0.20516266484684176,1.2255186390079609,0.0,1.0,7.622270080289812,752.7857142857142,400.35,69.28953,386.0525,0.0,386.0525,99.46366666666665,2042.5,0.0,384.0,2414.171428571429,5.0,1.0,0,16,2006,2021,Deutsche Lufthansa,Deutsche Lufthansa AG,MDAX,high
DE0008303504,0.5838926174496645,0.12217470983506414,0.18070652173913043,0.0,0.41304347826086957,0.013002364066193853,0.0,0.7126436781609196,1.0,0.0,6.4759461955343705,390.0,75.0,133.0,0.0,0.0,0.0,11.0,648.3333333333334,0.0,0.0,648.3333333333334,3.0,0.0,0,13,2009,2021,TAG Immobilien,TAG Immobilien AG,MDAX,high
DE0008402215,0.3638573813941032,0.39893455930911775,0.09088297479250643,0.1316682047920476,0.6242392510893308,0.015659822549172663,0.11048281782298,1.7181639827764417,1.0,0.0,6.943331045515292,375.54821428571427,387.1714285714285,100.1625,139.54375,132.67857142857144,0.0,15.357142857142858,1035.21875,0.0,108.52589285714285,1157.8026160714285,7.0,0.0,1,16,2006,2021,Hannover Rück,Hannover Rück SE,DAX and MDAX,high
DE0008404005,0.27368811362266743,0.2682621418323368,0.07160957572154357,0.3083652592974916,0.7193301075229402,0.008470328741119193,0.13553877662785768,2.629859090049329,1.0,0.0,8.067543230203752,763.1818181818182,933.1055555555556,176.73863636363637,950.1863636363637,910.6055555555556,0.0,29.304545454545455,3188.973484848485,94.79166666666667,385.175,3711.522727272727,11.0,1.0,0,16,2006,2021,Allianz,Allianz SE,DAX,high
DE0008430026,0.3066152424891438,0.13533577904959482,0.2942309767200306,0.21651630514687603,0.6771346065428341,0.018763723624722298,0.22173231529232879,2.2085942010279522,1.0,0.0,7.7011889827238305,662.4614318181818,308.3616388888889,634.761109090909,472.65630555555555,386.3131313131313,0.0,39.01886805555556,2210.6143888888887,0.0,490.61935,2700.1099999999997,9.0,1.0,0,16,2006,2021,Munich RE,Munich RE AG,DAX,high
DE000A0CAYB2,0.3317962435775598,0.3365475657855905,0.0,0.3405009138710562,0.6504360675788619,0.0208765346184933,0.052783210301794725,1.9603478947368422,0.0,1.0,7.267247301227129,450.0,481.802,0.0,449.36325,0.0,449.36325,25.436225,1431.6015,0.0,76.312175,1555.821,4.0,0.0,1,11,2006,2016,Wincor Nixdorf,Wincor Nixdorf AG,MDAX,high
DE000A0D6554,0.4433469567803662,0.2532875059734861,0.0,0.29749497892988547,0.5507824849033716,0.005870558316262252,0.0,1.2423283310732838,1.0,0.0,6.906217430432319,442.2223333333333,252.64499999999998,0.0,296.74033333333335,296.74033333333335,0.0,5.855666666666667,997.4633333333333,0.0,0.0,997.4633333333333,3.0,0.0,0,1,2020,2020,Nordex,Nordex SE,,very_low
DE000A0D9PT0,0.3727930950527403,0.29400335098883956,0.07554206236779665,0.2129027948869554,0.6130967551443092,0.012863609036722467,0.12490357977447078,1.645300013682666,1.0,0.0,7.289598580625599,582.2924166666667,516.5092,120.7189,295.049125,275.534,0.0,21.429625,1464.06275,0.0,195.01475,1820.6284500000002,4.0,0.0,0,16,2006,2021,MTU,MTU Aero Engines Holding AG,DAX and MDAX,high
DE000A0F6MD5,0.6658591563239281,0.21528407546704598,0.0,0.06272980377237149,0.30923244100459596,0.02221842886538332,0.10740710154239214,0.49495291384849266,0.0,1.0,6.430716298503716,394.15,136.51666666666665,0.0,39.0,0.0,39.0,14.05,619.9000000000001,0.0,62.25,745.7666666666667,5.5,0.0,0,6,2006,2011,Praktiker,Praktiker AG,MDAX,medium
DE000A0HN5C6,0.4441733938106987,0.31531530413443265,0.0,0.14944869522312576,0.5243057855082593,0.023056183675772973,0.0,1.1803856798500134,1.0,0.0,6.817886350271328,388.8,250.3,0.0,125.0,0.0,0.0,23.458333333333336,913.95,0.0,0.0,945.95,3.0,0.0,0,16,2006,2021,Deutsche Wohnen,Deutsche Wohnen SE,DAX and MDAX,high
DE000A0LD2U1,0.37860861334595364,0.15728715728715728,0.059644059644059645,0.37860861334595364,0.6034074775201136,0.014584346135148274,0.0702012763868434,1.59375,1.0,0.0,6.963662910920433,400.0,163.5,64.0,400.0,400.0,0.0,15.0,1056.5,0.0,71.5,1141.0,2.0,0.0,0,7,2014,2020,Alstria Office REIT,Alstria Office REIT-AG,MDAX,medium
DE000A0LD6E6,0.46668167492120666,0.235029266096353,0.07960339943342776,0.10349944228235801,0.5157586672669968,0.011033780342895943,0.14938041079612968,1.1051616015436565,0.0,0.0,6.97914527506881,480.0,252.25,56.2,109.675875,0.0,0.0,9.666666666666666,1073.0,0.0,163.66666666666666,1442.6,4.0,0.0,1,15,2007,2021,Gerresheimer,Gerresheimer AG,MDAX,high
DE000A0N4P43,0.3804634683320058,0.3480047355074768,0.0,0.2200947671123373,0.5680995026198141,0.05143702904818009,0.19596852470156154,1.4931775318939964,1.0,0.0,6.792916878628657,352.2,305.46666666666664,0.0,240.973,240.973,0.0,46.799,890.5102,0.0,157.24949999999998,1035.0153333333333,5.0,0.0,0,5,2007,2011,Tognum,Tognum AG,MDAX,low
DE000A0S8488,0.4480121017471538,0.3990902468633036,0.0,0.0,0.5121035288857944,0.019386874850742728,0.09760690311001183,1.1387319916587977,0.0,0.0,6.584324753690506,290.0,188.84595000000002,0.0,0.0,0.0,0.0,12.050375,722.6915,0.0,79.1159,735.9211250000001,5.0,0.0,1,8,2006,2013,Hamburger Hafen,Hamburger Hafen und Logistik AG,MDAX,medium
DE000A0TGJ55,0.19440440240400272,0.7632910708470262,0.0,0.03432098765432099,0.7976120585013471,0.007983539094650206,0.0,4.383089114976963,1.0,0.0,7.516899304235231,350.91666666666663,1409.9166666666665,0.0,69.5,69.5,0.0,16.166666666666668,1846.5,29.666666666666668,0.0,1876.1666666666667,2.5,0.0,1,2,2019,2021,Varta,Varta AG,MDAX,very_low
DE000A0WMPJ6,0.2812063381568099,0.5029487523007673,0.010903426791277258,0.1697882149546175,0.683640394046662,0.03515326779652801,0.0,3.5745619459905176,1.0,0.0,6.9628138091530865,258.5,596.875,7.0,294.625,294.625,0.0,31.625,1188.625,0.0,0.0,1188.625,3.5,0.0,0,2,2020,2021,Aixtron,Aixtron SE,MDAX,very_low
DE000A0Z2ZZ5,0.4760616716256424,0.39899749373433585,0.0,0.0,0.5125777657560184,0.01072107902472765,0.2102714853882068,1.0767045454545454,1.0,0.0,7.117475809964206,596.0,442.4,0.0,0.0,0.0,0.0,12.4,1232.3333333333333,0.0,243.2,1574.5334,5.0,0.0,0,5,2017,2021,Freenet,freenet AG,MDAX,low
DE000A12DM80,0.4576218117006672,0.26061266761146845,0.03132444223141385,0.0,0.5331294106312773,0.01890330317235365,0.03211599258693994,1.165,0.0,1.0,6.945989929212052,475.0,239.06,110.72,0.0,0.0,0.0,17.34,1037.975,0.0,31.25,1069.225,4.0,0.0,0,5,2017,2021,Scout24,Scout24 AG,MDAX,low
DE000A12UKK6,0.30728709394205445,0.0,0.0,0.32809455773477075,0.32809455773477075,0.12730469278276157,0.0,1.372,0.0,1.0,7.549258226389744,583.3333333333334,0.0,0.0,800.3333333333334,0.0,800.3333333333334,514.6666666666666,1898.3333333333333,0.0,0.0,2566.3333333333335,3.0,0.0,1,5,2015,2019,Rocket Internet,Rocket Internet SE,MDAX,low
DE000A13SX22,0.16615973865044498,0.820434831587248,0.0,0.0,0.820434831587248,0.014713779400708839,0.0,4.937627118644068,0.0,0.0,7.710717325549289,411.57142857142856,1820.75,0.0,0.0,0.0,0.0,29.75,2231.1428571428573,0.0,0.0,2601.285714285714,7.0,0.0,1,5,2015,2020,Hella,Hella KGaA Hueck & Co.,MDAX,low
DE000A161408,0.16209329630518324,0.20679377136446966,0.0,0.6311127085221704,0.83790647988664,0.0,0.0,5.229679342056073,0.0,1.0,7.804520747614205,395.50425,512.126625,0.0,1563.95225,0.0,1563.95225,0.0,2471.58375,0.0,0.0,2471.58375,4.0,0.25,0,2,2020,2021,HelloFresh,HelloFresh SE,DAX and MDAX,very_low
