cnameshort,clegalform,dummy_environmental,environmentalperformancekriterien,dummy_social,Socialperformancekriterien,dummy_governance,governanceperformancekriterien,ESG in STI (in words),Calculation of ESG share of STI (%),ESG in LTI (in words),Calculation of ESG share of LTI (%),ESG component 1,ESG component 2,ESG component 3,ESG component 4,dummy_Pensionsaequivalent als Nebenleistung anstatt Versorgungsaufwand,Pensionsaequivalent als Nebenleistung anstatt Versorgungsaufwand,Comment,e_19,e_20,e_21,e_22,e_23,e_24,year
Adidas,AG,1.0,ja,1.0,ja,0.0,nein,"ESG als integriert im individuellen Ziel (je 20% im STI):  Diversität, Gleichstellung und Inklusion",6.666666666666667,ESG-Kriterium: Nachhaltigkeit - Anteil nachhaltiger Artikel am Angebot bis 2025 auf 90% (Gewichtung: 20 %); Die Zielwerte für jedes der Performance-Jahre des Vierjahreszeitraums 2022 bis 2025 wurden durch den Aufsichtsrat zu Beginn des Geschäftsjahres 2022 definiert. ,20,"Diversität, Gleichstellung und Inklusion",Anteil nachhaltiger Artikel am Angebot,,,0.0,nein,"Ausländische Vorstände erhalten manchmal eine sogenannte ""Abwahlmöglichkeit"" oder Ähnliches, wo sie statt einer deutschen Rente eine Barzahlung erhalte; bitte hierauf explizit achten ob so etwas vorkommt (check BASF 2020/2021 wenn unklar - da kam es vor)",,,,,,,2022
Allianz,SE,1.0,ja,1.0,ja,1.0,ja,"ESG fließt über den Individuellen Beitragsfaktor (IBF: 0,8-1,2; neben strategischer Priorität und Performance (Ressortziele)) mit ein, wobei alle Bereiche (E-S-G) abgedeckt werden und sogar übergreifend strategische Ziele mit Nachhalitgkeitsorientierung festgelegt werden. Keine festen prozentual Gewichtungen der Indikatoren, subjektive Beurteilung pro Mitglied","0,8-1,2","Nachhaltigkeitsprüfung: Vor Auszahlung jeder LTI-Tranche über- prüft der Aufsichtsrat nach Vorarbeit des Personalausschusses, ob unter Nachhaltigkeitsgesichtspunkten Bedenken gegen eine vollständige Auszahlung bestehen. Bei entsprechendem Anlass kann die Auszahlung teilweise, aber auch vollständig entfallen. Gegenstand der Nachhaltigkeitsprüfung sind:
- Compliance-Verstöße,
- Bilanzthemen wie Reservestärke, Solvabilität, Verschuldung und Ratings,
- KPIs aus den individuellen Vorstandszielen wie dNPS, Mitarbeiterzufriedenheit und
Klimaziele.",Abschlag (100%-0%),Dekarbonisierung der Geschäftsbetriebe des Allianz Konzerns und Erhöhung des Anteils erneuerbarer Energien,"Dekarbonisierung des Anlageportfolios im Einklang mit den Asset Owner Alliance Zielen, als Teil des Net-Zero-Asset Owner Alliance Verpflichtung",Kundenzufriedenheit: Entwicklung digital Net Promoter Score,"Mitarbeiterzufriedenheit: Entwicklung Inclusive Meritocracy Index, Work Well Index Plus; Führungsqualität mit besonderem Schwerpunkt auf Kunden- und Marktexzellenz kollaborativer Führung, Unternehmertum und Vertrauen; Nachhaltigkeitsprüfung hinsichtlich Compliance Verstöße, Bilanzthemen und den KPIs aus den individuellen Vorstandszielen",0.0,nein,,,,,,,,2022
BASF,SE,1.0,ja,1.0,ja,0.0,nein,"Performance-Faktor (0-1,5):
""Zur Bewertung der Leistung des Vorstands trifft der Aufsichtsrat mit
dem Gesamtvorstand jährlich eine Zielvereinbarung. Die Zielvereinbarung
enthält:
[...]
– Einjährige strategische Ziele, welche die Weiterentwicklung der
BASF-Gruppe betreffen, z.B. Ziele für Wachstum, Investitions- und
F&E-Strategie sowie Nachhaltigkeit.
Die Erreichung der operativen und der strategischen Ziele fließt mit
einer Gewichtung von jeweils 50 % in den Performance-Faktor ein.""

Im GJ 2022:
""[...] – Die Kundenzufriedenheit hat sich auf Basis der letzten Erhebung nochmals verbessert.
– Der Umsatz mit nachhaltigeren Produkten wurde gesteigert und liegt deutlich über dem Zielwert für 2022. [...]
– Die Führungsposition im Bereich Nachhaltigkeit wurde 2022 konsequent ausgebaut. Zahlreiche Projekte in den Kategorien CO2-Reduktion, Steigerung des Anteils des Stromverbrauchs aus erneuerbaren Energien, neue Rohstoffkonzepte sowie neue Geschäftsmodelle
konnten erfolgreich umgesetzt werden.""","0,0-1,5",Eines der drei strategischen Ziele des LTI beinhaltet ESG-Komponenten über die CO2-Äquivalente,33.333333333333336,Reduktion CO2-Emissionen um 25% bis 2023,Steigerung Umsatz nachhaltiger Produkte; Verbesserung der Kundenzufriedenheit,Steigerung des Anteils des Stromverbrauchs aus erneuerbaren Energien,Neue Rohstoffkonzepte,1.0,ja,,,,,,,,2022
Bayer,AG,1.0,ja,1.0,ja,1.0,ja,"Performance Faktor: Die Zielerreichung für Teamziele und individuelle Ziele werden vom Aufsichtsrat bewertet. Der Faktor, der für das einzelne Vorstandsmitglied multiplikativ auf die Erreichung der finanziellen Ziele ange- wandt wird, kann zwischen 0,8 und 1,2 liegen. Die für 2022 festgelegten Zielerreichungswerte können der nachstehenden Tabelle entnommen werden.","0,8-1,2","Der Aufsichtsrat hat konkrete Nachhaltigkeitsziele für den vierjährigen Leistungszeitraum ab der Tranche 2021 bestimmt. Diese werden mit einer Gewichtung von 20 % berücksichtigt. Dabei können Nachhaltigkeitsziele sowohl auf Divisions- als auch auf Konzernebene berücksichtigt werden.
Der Aufsichtsrat hat bei der Festlegung der Nachhaltigkeitsziele darauf geachtet, dass sich diese als Minimum an den Sustainable-Development-Zielen der Vereinten Nationen orientieren sowie bezüglich der Ermittlung, Messbarkeit und Überprüfbarkeit internationaler Best Practice wie etwa der Science Based Targets initiative (SBTi) folgen. Alle unten stehenden Nachhaltigkeitsziele flie- ßen mit der gleichen Gewichtung ein. Zudem hat der Aufsichtsrat für die einzelnen Nachhaltig- keitsziele einen Mindestwert, Zielkorridor sowie Maximalwert bestimmt. Oberhalb oder unterhalb des Zielkorridors folgt die Zielerreichung einer Zielfunktion innerhalb des Intervalls von 0 % bis 200 %.",20,Mitarbeiterengagement steigern und Performance-Kultur fördern,Engagement für die Gesundheit und Sicherheit der Mitarbeiter verbessern und gesellschaftliche Akzeptanz (License to Operate) sicherstellen,Inklusion und Vielfalt fördern und I&D-Plan umsetzen ,"Unseren Unternehmenszweck verfolgen, indem wir weitere bahnbrechende Innovationen und neue Technologien nutzen; Nachhaltigkeitsversprechen einhalten, um nachhaltige Wirkung zu erzielen; Anzahl an Kleinbauern in Ländern mit geringem bis mittlerem Einkommensniveau, die durch Produkte und Dienstleistungen sowie über Partnerschaften unterstützt werden; Anzahl an Frauen in Ländern mit geringem bis mittlerem Einkommensniveau mit Zugang zu moderner Empfängnisverhütung aufgrund von Maßnahmen, die durch Bayer unterstützt werden; Anzahl der Menschen in unterversorgten Regionen, deren alltägliche Gesundheitsversorgung durch Interventionen von Bayer unterstützt wird; Scope-1-und-2-Treibhausgas-Emissionen; Scope-3-Treibhausgas-Emissionen relevanter Kategorien; Kompensation verbleibender Scope 1-und-2-Treibhausgas-Emissionen",0.0,nein,,,,,,,,2022
Beiersdorf,AG,1.0,ja,1.0,ja,1.0,ja,"Der Variable Bonus setzt sich aus gemeinschaftlichen und individuellen Leistungskriterien zusammen, die sowohl an die finanzielle und nichtfinanzielle als auch an die strategische und operative Entwicklung des Unternehmens anknüpfen. Die gemeinschaftlichen Ziele werden dabei insgesamt mit 70 % bis 90 % und die individuellen Ziele insgesamt mit 10 % bis 30 % gewichtet. Die Leistungskriterien aus der Nachhaltigkeitsagenda und zu Diversität bekräftigen zudem – übereinstimmend mit den der Strategie zu Grunde liegenden Core Values – die Verantwortung, langfristig einen Mehrwert für Menschen, Umwelt und Gesellschaft zu schaffen.",7.25,"Für den LTP 2021– 2024 gelten gemeinschaftliche Ziele für sämtliche Mitglieder des Vorstands, die an die strategische Entwicklung des Unternehmens anknüpfen. Sie können je nach Aufgabenbereich individuell gewichtet werden. Hierfür legt der Aufsichtsrat messbare nichtfinanzielle oder finanzielle Kriterien fest, die sich im Wesentlichen aus der Umsetzung der Strategie C.A.R.E.+ sowie aus der dem Aufsichtsrat zur Zustimmung vorzulegenden Mehrjahresplanung ergeben. Strategische Ziele der Nachhaltigkeit und der Diversität/Personalentwicklung fallen darunter",40,"Talent- & Führungskräfteentwicklung, einschließlich Diversität & Inklusion (ab Zielerreichung für das Operating Model ≥ 125%) ",NIVEA: Nachhaltigkeit; Innovation; Digitalisierung ,Reduktion der globalen Scope-1 bis Scope-3-Emissionen um 20 % (vs. 2018) bis 2024,Steigerung des Anteils recycelter Materialien in Plastikverpackungen um 20 % bis bis 2024; Erhöhung des Frauenanteils auf den Führungsebenen MG 1–4 auf 45 %; Nachfolgeplanung für MG 1–4 einschließlich Steigerung der internen und internationalen Beförderungen,0.0,nein,,,,,,,,2022
BMW,AG,1.0,ja,1.0,ja,1.0,ja,"Leistungskomponente der Tantieme motiviert zur Verfolgung nichtfinanzieller strategischer Ziele zur langfristigen Entwicklung der Gesellschaft. Bei der Tantieme sind 50 % des Zielbetrags der Leistungskomponente von ESG-Zielen abhängig (25% des STI). Diese umfassen unter anderem Zielsetzungen zur ökologischen Innovationsleistung (E), Entwicklung der Reputation (G), Wandlungsfähigkeit (ESG), Attraktivität als Arbeitgeber (S) und Führungsleistung (S) sowie zur Erreichung der Diversity Ziele (S) und Präventionsleistung Compliance (G).",25,Bei der langfristigen aktienorientierten Vergütung (LTI) sind 50 % des Zielbetrags von ESG-Zielen abhängig. Diese umfassen Zielsetzungen zur Reduktion der CO2-Flottenemissionen in der EU (E) sowie zum Absatz von elektrifizierten Fahrzeugen (E).,50,Innovationsleistung (ökologisch),"Entwicklung der Reputation (Corporate Reputation, Compliance Präventionsleistung)","Wandlungsfähigkeit (Investition in Aus- und Weiterbildung, Nachhaltigkeit)","Attraktivität als Arbeitgeber; Führungsleistung (Mitarbeiterzufriedenheit); Reduktion der CO2-Flottenemissionen in der EU nach WLTP; Gewichtung in Bezug auf Eigeninvestmentbarbetrag: 25%; Absatz vollelektrischer Fahrzeuge (Battery Electric Vehicle, BEV); Gewichtung in Bezug auf Eigeninvestmentbarbetrag: 12,5%; Absatz von Plug-in-Hybrid Fahrzeugen (Plug-In-Hybrid Vehicle, PHEV); Gewichtung in Bezug auf Eigeninvestment- barbetrag: 12,5%",0.0,nein,,,,,,,,2022
Brenntag,SE,1.0,ja,1.0,ja,1.0,ja,"Individueller Leistungsmultiplikator (0,7-1,3) berücksichtigt ESG-Aspekte und individuelle Leistungsaspekte. Der Aufsichtsrat hat mit den Vorstandsmitgliedern vereinbart, dass zu 50 % ESG-Aspekte der Gesellschaft sowie zu 50 % individuelle Leistungsaspekte bei der Festlegung des Individuellen Leistungsmultiplikators berücksichtigt werden. Dies umfasst Themen der Umwelt- und Gesellschaftsverantwortung (z. B. Nachfolgeplanung, Führungskräfteentwicklung, Umweltschutz, Compliance) und der nachhaltigen Unternehmensentwicklung (z. B. Integration von Akquisitionen). ","0,7-1,3",,0,Reduktion der Scope-1- und -2-Emissionen,"Implementierung eines Carbon-Management-
Programms",Vermeidung von Freisetzungen oder Leckagen,"Implementierung einer globalen Richtlinie zu mindestens existenzsichernden Löhnen; Aufbau einer globalen Organisationsstruktur für Vielfalt, Chancengleichheit und Inklusion; Vermeidung von Arbeitsunfällen; Erweiterung der Governance-Struktur zur Stärkung der Nachhaltigkeitsleistung; Einführung einer Roadmap für ein nachhaltiges Produktportfolio; Einführung eines Risikomanagement-Programms für Lieferanten; Entwicklung einer systematischen Nachfolgeplanung für
Führungskräfte und Förderung von Vielfalt und Inklusion; Sicherstellung der Umsetzung priorisierter Compliance Maßnahmen; Erreichung eines Fortschritts bei der Brenntag-Sicherheitskultur; Weiterentwicklung eines Organisationskonzepts für das Interne Kontroll- und Risikomanagementsystem sowie Entwicklung eines Maßnahmenplans",1.0,ja,,,,,,,,2022
Commerzbank,AG,1.0,ja,1.0,ja,1.0,ja,ESG-Ziele werden unter den Ressortzielen und individuellen Zielen (einheitlich für alle Mitglieder) berücksichtigt.,"5%  + 60% des Multiplikators (0,7-1,3)",ESG-Ziele werden unter den Ressortzielen und individuellen Zielen (einheitlich für alle Mitglieder) berücksichtigt.,"5%  + 60% des Multiplikators (0,7-1,3)",Entwicklung einer Nachhaltigkeitsstrategie,Durchführung Mitarbeiter- und Marktforschungsanalyse mit einem renommierten Marktforschungsinstitut,"Sicherstellung eines wirksamen und effizienten globalen Compliance Management Systems und Weiterentwicklung desselben für die relevanten Risikoarten AML, Sanctions, Anti Bribery, Corruption und Fraud und Markets Compliance in der 2nd Line of Defence","Verankerung von Nachhaltigkeit in der DNA der Bank und Steigerung der internen sowie externen Wahrnehmung als nachhaltige Bank (Vorstandsvergütung am Net-Zero-Ziel bis 2050 orientiert); Vertrauensvolle Zusammenarbeit Vorstandsteam und aktives Vorleben und Fördern der Comwerte und der Culture of Integrity gegenüber Kollegen, Kunden und Partnern",0.0,nein,,,,,,,,2022
Continental,AG,1.0,ja,1.0,ja,0.0,nein,,0,"Zusätzlich zum TSR legt der Aufsichtsrat jährlich bis zu sechs Leistungskriterien und Ziele für den Nachhaltigkeitsfaktor des jeweiligen Plans fest. Die Ziele basieren auf der Nachhaltigkeitsambition des Konzerns, den berichteten Nachhaltigkeitskennzahlen, den damit verbundenen Konzernzielen sowie Managementprozessen, über die in der nicht-finanziellen Erklärung innerhalb des Lageberichts ausführlich berichtet wird. Die Zielwerte für die einzelnen Zieljahre des LTI werden aus den mittel- und langfristigen Konzernzielen abgeleitet. Für die eigenen CO2-Emissionen wird bspw. der Zielpfad des Klimaneutralitätsziels 2040 sowie die entsprechenden Zwischenschritte für die jeweiligen LTI-Zielwerte genutzt. Grundlage für die Messung der Zielerreichung ist die Messung der Performance im entsprechenden Zeitraum bzw. im letzten Jahr des Plans. Der Aufsichtsrat stellt die Erreichung der Ziele anhand des geprüften Konzernabschlusses und der nichtfinanziellen Erklärung des Continental-Konzerns für das vierte Geschäftsjahr der Laufzeit des LTI-Plans fest. Zur Berechnung des Nachhaltigkeitsfaktors wird zum Wert 0,7 für jedes Ziel, das erreicht wurde, ein Wert addiert, der sich aus der Division des Werts 0,6 durch die Anzahl der festgelegten Leistungskriterien ergibt. Der Nachhaltigkeitsfaktor beträgt maximal 1,3.","0,7-1,3","Reduktion der eigenen CO2-Emissionen bis 2030 auf 0,7 Mio t CO2 und bis 2040 auf Netto-Null.",Erhöhung der Abfallverwertungsquote bis 2030 auf 95 %,"Definierte Reduktion der Unfallhäufigkeit über die Laufzeit des Plans und auf 2,2 Unfälle pro 1 Mio. Arbeitsstunden bis 2030.","Erhöhung des Anteils von Frauen in Führungspositionen bis 2025 auf 25 % und auf bis zu 30 % bis 2030; Dauerhaftes Erreichen von mindestens 80 % im Index „Nachhaltiges Engagement“, welcher die Zustimmung der Mitarbeiterinnen und Mitarbeiter in der Mitarbeiterbefragung zu den entsprechenden Fragen misst.",0.0,nein,,,,,,,,2022
Covestro,AG,1.0,ja,0.0,nein,0.0,nein,"Nachhaltigkeit, gemessen an ausgewählten Kriterien betreffend Umwelt, Soziales und Unternehmensführung (Environmental, Social and Governance, ESG). Im Jahr 2022 sind für die Nachhaltigkeitskomponente die direkten und indirekten Treibhausgasemissionen (CO2-Äquivalente) der Emissionsstufen Scope 1 und 2 der wesentlichen Standorte maßgeblich. Weitere Komponenten betreffend Soziales und Unternehmensführung sollen in der Zukunft ebenso einbezogen werden.",25,"Um die Gesamtausschüttung für die mit dem Geschäftsjahr 2022 beginnende Tranche zu errechnen, wird der LTI- Zielbetrag mit dem TSR-Faktor, dem zu 75 % gewichteten Outperformance-Faktor und dem zu 25 % gewichteten CO2-Faktor multipliziert. Der Co2-Faktor ist als Multiplikator limitiert auf 0-200%","25% des Multiplikators (0-2,0)",Einsparungsziel für jährliche Treibhausgasemissionen (CO2-Äquivalente) der Emissionsstufe Scope 1 (und Scope 2 im STI),,,,0.0,nein,,,,,,,,2022
Daimler Truck,AG,1.0,ja,1.0,ja,1.0,ja,"Darüber hinaus wirken sich vom Aufsichtsrat festgelegte, auf Nachhaltigkeit ausgerichtete nicht-finanzielle Ziele (ESG) mit Zuschlägen von 0 bis zu +35%-Punkten auf den Jahresbonus des Gesamtvorstands aus. Die ESG-Leistungskriterien geben Auskunft darüber, ob und in welchem Umfang der Daimler Truck-Konzern auf ökologischer, sozialer und unternehmerischer Ebene nachhaltige Strategien umsetzt und welche Fortschritte Daimler Truck dahingehend bereits erreichen konnte.",Zuschlag von bis zu +35%-Punkten,,0,"Anzahl abgesetzter ZEV (eTrucks und eBUses, Group Sales target)",Inclusion & Diversity,Implementierung der ESG-Strategie,,0.0,nein,,,,,,,,2022
Deutsche Bank,AG,1.0,ja,1.0,ja,1.0,ja,"STI: 1) Individuelle Ziele berücksichtigen ESG-Ziele, wie etwa Weiterentwicklung einer Nachhaltigkeitsstrategie oder die Förderung von Maßnahmen zur Verbesserung der regulatorischen Sanierungsmaßnahmen. Jeder Mitglied erhält 4-7 individuelle Ziele mit unterschiedlicher Gewichtung, 2) Balanced Scorecards: 8-21 KPIs pro Mitglied, seit 2021 ESG-Themen noch stärker in B.S. einzubinden. Keine genaueren Angaben, inwiefern die einzelnen Ziele beispielsweise im Balanced Scorecards oder Jahresbezogene Prioritäten einfließen",20% der individuellen Ziele; genaue Berechnung von individuellen Balanced Scorecards und jährlichen Prioritäten nicht möglich,"Um Nachhaltigkeitsstrategie eng und konsequent mit der Vorstandsvergütung zu verknüpfen, werden strategische nachhaltige Ziele der Bank in einer ESG-Komponente zusammengeführt. Hierbei wird Umwelt unterteilt in nachhaltige Finanzierungen & Investionen und Eigener Geschäftsbetrieb, Soziales und Unternehmensführung. Die einzelnen Komponenten sind unterschiedliche gewichtet.",33.33333333333333,Weiterentwicklung der bankenweiten Strategie zu ESG & nachhaltigem Bankengeschäft,Sicherstellung der Umsetzung wesentlicher Kontrollverbesserungen im Bereich Finanzkriminalität,Unterstützung des CEO bei der Weiterentwicklung der Deutschen Bank-Kultur mit dem Schwerpunkt auf Integrität und Verhalten,"Steigerung des Geschäfts mit nachhaltigen Finanzierungen und Investitionen (außer DWS); Entwicklung eines Klima-Risikomanagements; Reduzierung gesamter Gebäudeenergiebedarf (kwh/Quadratmeter) vs YE2019; Employee Feedback Culture; Gender Diversity (VP, Director, MD); Kontrollumfeld Jahresdurchschnitt; Geldwäschebekämpfung / Kenne-deinen-Kunden Verbesserungsmaßnahmen (VB S.23)",1.0,ja,,,,,,,,2022
Deutsche Börse,AG,1.0,ja,1.0,ja,1.0,ja,Individuelle Ziele inklusive ESG-Ziele werden pro Mitglied festgelegt. Die Ausprägung an ESG-Zielen allerdings sehr gering ,1.388888888888889,"Zur weitergehenden Förderung der nachhaltigen Entwicklung der Gruppe Deutsche Börse bilden ESG- Ziele das dritte Leistungskriterium für die Performance Shares. Hierdurch unterstreicht die Deutsche Börse AG ihren Fokus auf eine ganzheitliche Wahrnehmung ihrer unternehmerischen Verantwortung und stellt den nachhaltigen Unternehmenserfolg sicher. Die ESG-Ziele werden auf der Grundlage eines Kriterienkatalogs mit den vier Kategorien „Externe Sicht“, „Mitarbeitendenzufriedenheit“, „Ausbau des ESG-Geschäfts“ und „CO2-Neutralität“ festgelegt, um die verschiedenen ESG-Aspekte widerzuspiegeln und ganzheitlich abzudecken.",25,Effektivität der Compliance Funktion sowie im Bereich Human Ressources,"Erzielung guter Ergebnisse in drei führenden unabhängigen ESG-Ratings (S&P, Sustainalytics und MSCI)",Erzielung guter Ergebnisse in der Mitarbeitendenbefragung,Jährliches Wachstum der Nettoerlöse mit ESG-Produkten/-Dienstleistungen; Erreichen und Erhalt von CO2-Neutralität; Zusätzliche Koppelung bei CO2-Neutralität: Senkung des CO2-Ausstoßes pro Arbeitsplatzes,0.0,nein,,,,,,,,2022
Deutsche Post,AG,1.0,ja,1.0,ja,1.0,ja,"Leistungskriterium E dient der Umsetzung des Ziels, alle logistikbezogenen Emissionen auf null zu reduzieren, S misst den Erfolg bei der Erreichung des Zieles Arbeitgeber erster Wahl zu werden, G incentiviert die Geschäftstätigkeiten nach ehtischen Standards und fördert dadurch die Minimierung von Geschäftsrisiken. Mit der ESG­Roadmap hat Deutsche Post DHL Group vor allem die Maßnahmen zum Klima­ und Umweltschutz ver- stärkt und auf Dekarbonisierungsmaßnahmen ausgerichtet sowie die strategischen Ansätze in den Bereichen soziale Verantwortung und Unternehmensführung konkretisiert. Im Jahr 2021 wurde turnusgemäß die Materialitätsanalyse aktualisiert. Daraus wurden sechs Themen ermittelt, auf die die Gruppe mit ihrem Geschäft einen wesentlichen Einfluss hat oder die sich umgekehrt auf das Geschäft auswirken können. Diese Themen bildeten auch die Grundlage für die Ausrichtung der ESG-­Roadmap, die im Geschäftsjahr 2022 gemeinsam mit dem Vorstand und dem Aufsichtsrat überprüft wurde: Die sechs Fokusthemen – 1. Klimaschutz mit Fokus auf die Treibhausgas(THG)­Emissionen, 2. Engagement der Beschäftigten, 3. Vielfalt und Inklusion, 4. Arbeitsschutz und Gesundheit am Arbeitsplatz, 5. Compliance und 6. Cyber­ sicherheit – wurden bestätigt.",30,,0,Maßnahmen zur absoluten CO2-Reduktion im Konzern,Mitarbeiterbefragung (EOS) - Mitarbeiterengagement auf Konzernebene,Compliance-relevante Schulungen im mittleren und oberen Management,,0.0,nein,,,,,,,,2022
