company_shortname,year,sector,total_comp_bt,pred_comp,pred_comp_low,pred_comp_high,actual_vs_expected_pct,benchmark_signal,log_n_exec,is_dax,year_centered,log_comp_lag1,sector_Auto,sector_Banking,sector_Chemicals,sector_Consumer,sector_Energy,sector_Industrials,sector_Insurance,sector_Logistics,sector_Media,sector_Pharma,sector_Real Estate,sector_Tech,sector_Telecom
Adidas,2007,Consumer,10612.0,8132.867178699459,4246.644978635665,15575.478731828689,30.48288834463645,🟡 Above Market,1.3862943611198906,1,-5,9.08398318309966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2008,Consumer,8416.0,9243.466757348033,4826.5538865660965,17702.418682615506,-8.951909268135179,🟢 In Line,1.3862943611198906,1,-4,9.26974071525763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2009,Consumer,10494.0,8166.7425521206,4264.3332896921975,15640.354395805549,28.49676517934434,🟡 Above Market,1.3862943611198906,1,-3,9.03788993497749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2010,Consumer,11494.0,9479.465571163375,4949.782651481591,18154.386534118705,21.251561216329094,🟡 Above Market,1.3862943611198906,1,-2,9.258558944246657,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2011,Consumer,14529.0,10175.656024141997,5313.304350084879,19487.680113788934,42.78194905104482,🔴 Significantly Overpaid,1.3862943611198906,1,-1,9.349580439067687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2012,Consumer,10309.0,11908.941850646646,6218.354117889323,22807.14370931028,-13.434794381498897,🟢 In Line,1.3862943611198906,1,0,9.583901931071338,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2013,Consumer,9625.0,10823.565377373954,5651.615666507183,20728.509224812355,-11.073665059385021,🟢 In Line,1.6094379124341003,1,1,9.240772579096385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2014,Consumer,14233.19,11407.158801747293,5956.343879906599,21846.16512274325,24.774190027229476,🟡 Above Market,1.791759469228055,1,2,9.172119159155985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2015,Consumer,7413.897,13574.710322329382,7088.149131186504,25997.30295238723,-45.38449201523885,🔵 Significantly Underpaid,1.6094379124341003,1,3,9.56333184024029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2016,Consumer,11332.72,10062.217522091163,5254.071482446289,19270.43090299513,12.626466036134708,🟢 In Line,1.791759469228055,1,4,8.91111149097862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2017,Consumer,33112.59,14934.235150216213,7798.036450974181,28600.966528451012,121.7227040215756,🔴 Significantly Overpaid,2.0794415416798357,1,5,9.335449395818717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2018,Consumer,17367.91,25617.679516011805,13376.48675314601,49061.12613095094,-32.20342229223164,🟡 Below Market,1.791759469228055,1,6,10.407668851583427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2019,Consumer,16493.6,18840.311538049235,9837.62707923414,36081.60138536015,-12.455800071617178,🟢 In Line,1.9459101490553132,1,7,9.762379529600897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2020,Consumer,8269.964,17373.17414670625,9071.548954629672,33271.84601453808,-52.3980826407137,🔵 Significantly Underpaid,1.791759469228055,1,8,9.710727705856359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2021,Consumer,27310.39,11641.476847123633,6078.695017449741,22294.914088151345,134.5955788826555,🔴 Significantly Overpaid,1.791759469228055,1,9,9.020385434924828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2022,Consumer,24980.406000000003,24312.990093602417,12695.232201385348,46562.47935560439,2.745100063086053,🟢 In Line,1.791759469228055,1,10,10.215022494849125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2023,Consumer,40598.99464,25005.776799006162,13056.976604573649,47889.2543242121,62.35846207190643,🔴 Significantly Overpaid,1.9459101490553132,1,11,10.125847036549892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adidas,2024,Consumer,36199.109,31882.943401274948,16647.946969275443,61059.90617371261,13.537538063541687,🟢 In Line,1.791759469228055,1,12,10.61149858272165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2007,Insurance,38823.0,32384.03456671783,22970.803669179542,45654.72370587864,19.883147728293597,🟡 Above Market,2.3978952727983707,1,-5,10.62607216874969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2008,Insurance,26276.0,31749.52588957088,22520.73083408836,44760.199020128144,-17.239709054580967,🟡 Below Market,2.3978952727983707,1,-4,10.566768133489779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2009,Insurance,30865.0,26460.05663825754,18768.778326881187,37303.152347270465,16.647520532414607,🟡 Above Market,2.4849066497880004,1,-3,10.176411254012363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2010,Insurance,37836.0,27405.604566876227,19439.47906317615,38636.17740141606,38.059351720087456,🟡 Above Market,2.302585092994046,1,-2,10.337378134827997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2011,Insurance,26715.0,31485.73031453169,22333.614051263186,44388.30236628671,-15.152039564824207,🟡 Below Market,2.302585092994046,1,-1,10.541016309333061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2012,Insurance,39079.0,28037.992292642633,19888.04745453738,39527.71198878728,39.37873864903874,🟡 Above Market,2.4849066497880004,1,0,10.192980484391871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2013,Insurance,41664.0,34526.511841787564,24490.51625316637,48675.16909967029,20.672485511768112,🟡 Above Market,2.3978952727983707,1,1,10.57334051729299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2014,Insurance,30228.0,36464.28065657026,25865.024018989312,51407.01832810751,-17.10243708166114,🟡 Below Market,2.3978952727983707,1,2,10.63739272556824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2015,Insurance,56815.0,30532.798938706543,21657.67605165466,43044.86819398403,86.07858425968087,🔴 Significantly Overpaid,2.3978952727983707,1,3,10.31652392614061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2016,Insurance,25504.0,43579.871682917634,30912.29026123774,61438.51522645224,-41.47756976990592,🔵 Significantly Underpaid,2.302585092994046,1,4,10.94755565435211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2017,Insurance,24072.0,26114.40652691794,18523.600079264936,36815.85789667925,-7.820995375915168,🟢 In Line,2.1972245773362196,1,5,10.146590581589942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2018,Insurance,26929.0,26806.810835876106,19014.739730441015,37792.00332887111,0.4558138783162008,🟢 In Line,2.302585092994046,1,6,10.088804618309881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2019,Insurance,39107.0,29144.641274747297,20673.02118738873,41087.855874296394,34.18247159516319,🟡 Above Market,2.302585092994046,1,7,10.200959051807608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2020,Insurance,34335.0,38628.86856507462,27400.420226910694,54458.63509612493,-11.115698503675096,🟢 In Line,2.3978952727983707,1,8,10.574056758082826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2021,Insurance,37443.25,36288.27913264415,25740.181746997103,51158.89294613553,3.182765606310777,🟢 In Line,2.3978952727983707,1,9,10.443920521054777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2022,Insurance,58093.5,38851.064335439434,27558.029230404587,54771.88471558544,49.528722040718634,🔴 Significantly Overpaid,2.3978952727983707,1,10,10.5305817323797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2023,Insurance,44228.0,47219.893972377984,33494.24888626232,66570.18625299398,-6.336087866118757,🟢 In Line,2.1972245773362196,1,11,10.969809060505677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,2024,Insurance,47844.0,40704.380929857885,28872.632929320214,57384.67395539973,17.540173580935093,🟡 Above Market,2.1972245773362196,1,12,10.697113351662292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2007,Chemicals,28018.0,21520.250830566394,14397.427214028477,32166.941282345248,30.19364978871202,🟡 Above Market,2.1972245773362196,1,-5,10.026457114879811,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2008,Chemicals,22353.0,26027.63888681723,17412.949290243272,38904.264563736986,-14.118218340113831,🟢 In Line,2.302585092994046,1,-4,10.24060243975606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2009,Chemicals,17596.0,20978.88041168074,14035.240859273561,31357.73926079822,-16.125171340398133,🟡 Below Market,2.0794415416798357,1,-3,10.014715819221838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2010,Chemicals,25708.0,18452.199257731292,12344.846621146215,27581.035868342402,39.322146053829314,🟡 Above Market,2.0794415416798357,1,-2,9.77542688246861,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2011,Chemicals,31265.0,25924.768581246255,17344.127242182414,38750.50134298965,20.598955018702927,🟡 Above Market,2.302585092994046,1,-1,10.154557506491177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2012,Chemicals,27191.0,28336.63560676275,18957.70880418111,42355.58873725084,-4.042948579574262,🟢 In Line,2.1972245773362196,1,0,10.350254540001398,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2013,Chemicals,26487.0,25168.253302651858,16838.00518321491,37619.71607764418,5.239722762998386,🟢 In Line,2.0794415416798357,1,1,10.210641315177503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2014,Chemicals,27523.0,26472.126132638445,17710.319094139115,39568.65250464214,3.969737308201682,🟢 In Line,2.1972245773362196,1,2,10.184409325569693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2015,Chemicals,22671.0,27528.130806854748,18416.80483886419,41147.09323086038,-17.64424486694636,🟡 Below Market,2.1972245773362196,1,3,10.22277729773385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2016,Chemicals,21406.0,23662.12780047267,15830.3806688195,35368.466732370376,-9.534762974391517,🟢 In Line,2.0794415416798357,1,4,10.02884185368883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2017,Chemicals,30672.0,25549.552996557777,17093.10140086422,38189.65575731683,20.049067019420484,🟡 Above Market,2.302585092994046,1,5,9.971426535544321,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2018,Chemicals,27131.0,29315.56836419131,19612.63207777452,43818.82784052574,-7.45190520290147,🟢 In Line,2.0794415416798357,1,6,10.331105465285425,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2019,Chemicals,16571.0,26128.598155274452,17480.49282078288,39055.171302043185,-36.57906979347496,🟡 Below Market,1.9459101490553132,1,7,10.208432264538738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2020,Chemicals,22060.0,18463.167858216886,12352.184808250744,27597.430952700266,19.481121383957802,🟡 Above Market,1.791759469228055,1,8,9.715409458629793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2021,Chemicals,33210.67,23812.279673608202,15930.83491916905,35592.90307953993,39.46867101854296,🟡 Above Market,1.9459101490553132,1,9,10.001521292807494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2022,Chemicals,29071.0,28991.488645291916,19395.817032209645,43334.41651229767,0.2742575784255078,🟢 In Line,1.791759469228055,1,10,10.410626488813477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2023,Chemicals,30926.92876712329,30743.36826896235,20567.855386600462,45953.00165017642,0.5970734779450209,🟢 In Line,2.0794415416798357,1,11,10.277496392686066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASF,2024,Chemicals,27845.180327868853,32426.425664849936,21693.85045724835,48468.71621384854,-14.12812310654124,🟢 In Line,2.0794415416798357,1,12,10.339382564503307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2007,Auto,15184.33,16285.655273576358,10757.261357615722,24655.212778854555,-6.76254811412636,🟢 In Line,2.0794415416798357,1,-5,9.581823235497907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2008,Auto,10920.48,18718.538977664884,12364.268592997125,28338.409087684322,-41.659549321502034,🔵 Significantly Underpaid,2.302585092994046,1,-4,9.628019254017126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2009,Auto,10716.5,13386.221093491593,8842.080743730192,20265.695412349774,-19.943799484901803,🟡 Below Market,1.9459101490553132,1,-3,9.298395204376813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2010,Auto,18172.35,13448.020002749756,8882.901147167337,20359.254144354454,35.13030168221229,🟡 Above Market,1.9459101490553132,1,-2,9.279539888777187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2011,Auto,27249.09,18789.619489957986,12411.219829243093,28446.019443274974,45.022042700562054,🔴 Significantly Overpaid,1.9459101490553132,1,-1,9.80765648709443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2012,Auto,31375.79,25807.987788644583,17047.10465086728,39071.282035271724,21.57394934061938,🟡 Above Market,2.0794415416798357,1,0,10.212775405038368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2013,Auto,34495.96,30025.794173542883,19833.11754847466,45456.71216582381,14.887752179411082,🟢 In Line,2.1972245773362196,1,1,10.35379185539996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2014,Auto,35437.18,32304.586438305305,21338.341843105034,48906.62604541358,9.697055146263098,🟢 In Line,2.1972245773362196,1,2,10.448597494713265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2015,Auto,35472.91,33362.11183607051,22036.875424037116,50507.637074011756,6.326932102803334,🟢 In Line,2.1972245773362196,1,3,10.475516830446974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2016,Auto,37625.0,33920.03497296124,22405.403733164007,51352.28921868818,10.922645068002156,🟢 In Line,2.1972245773362196,1,4,10.47652458556402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2017,Auto,40262.73,33958.94640128335,22431.106131822668,51411.19808840785,18.562953998120587,🟡 Above Market,2.0794415416798357,1,5,10.535424002051176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2018,Auto,24014.55,37801.328648076786,24969.137876341032,57228.26533445803,-36.47167742813774,🟡 Below Market,2.1972245773362196,1,6,10.60318150613478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2019,Auto,25067.06,29421.101948699896,19433.696573740635,44541.255267174325,-14.799044428355607,🟢 In Line,2.302585092994046,1,7,10.08641517563479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2020,Auto,18833.31,27887.136021226186,18420.456877927747,42218.95041041238,-32.465958549256904,🟡 Below Market,2.0794415416798357,1,8,10.129309912636073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2021,Auto,32552.51,22524.917432196486,14878.518537107722,34100.969398388675,44.517777248188054,🔴 Significantly Overpaid,1.9459101490553132,1,9,9.843382389527601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2022,Auto,42171.965,31836.712344948945,21029.294167703356,48198.30113421819,32.463316384773606,🟡 Above Market,1.9459101490553132,1,10,10.390609756798904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2023,Auto,39295.231,42105.17052899963,27811.98031511338,63743.9465003775,-6.673621062915079,🟢 In Line,2.1972245773362196,1,11,10.649510942761943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,2024,Auto,22257.394,36822.28174978834,24322.442168410882,55746.06463744682,-39.55454973909122,🟡 Below Market,1.9459101490553132,1,12,10.578858441893507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayer,2007,Pharma,9708.0,9016.171406927968,6454.2680094648285,12594.975405405568,7.673196990692031,🟢 In Line,1.3862943611198906,1,-5,9.093694189856862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2008,Pharma,9787.0,9654.958691346508,6911.54684197543,13487.31759516864,1.3676009693530542,🟢 In Line,1.3862943611198906,1,-4,9.180705566846491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2009,Pharma,9424.0,9858.525386102865,7057.2710020938675,13771.686358593648,-4.407610358394944,🟢 In Line,1.3862943611198906,1,-3,9.18881025342582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2010,Pharma,14985.0,11644.739712241468,8335.940790290837,16266.905725121218,28.68471404515038,🟡 Above Market,1.791759469228055,1,-2,9.151014905891367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2011,Pharma,11155.0,13160.225222765921,9420.808103468748,18383.93543438753,-15.237012960059943,🟡 Below Market,1.3862943611198906,1,-1,9.614804979750764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2012,Pharma,12997.0,11191.679852161007,8011.615793647249,15634.01205691686,16.130913068339805,🟡 Above Market,1.3862943611198906,1,0,9.319643106866632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2013,Pharma,13563.0,13718.00800702536,9820.099489822567,19163.119872241954,-1.1299600273303307,🟢 In Line,1.6094379124341003,1,1,9.47247384058159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2014,Pharma,15198.0,15461.229031211726,11067.992323934748,21598.280533555742,-1.7025103934515347,🟢 In Line,1.791759469228055,1,2,9.515100775962715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2015,Pharma,16790.0,15564.809019451497,11142.140537665802,21742.974699792387,7.871545221129084,🟢 In Line,1.6094379124341003,1,3,9.62891911922973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2016,Pharma,28445.0,20532.157521014924,14698.039940916799,28682.021151282435,38.538777383166774,🟡 Above Market,2.0794415416798357,1,4,9.728538750071586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2017,Pharma,24324.0,27080.706658049356,19385.849133529628,37829.89685145627,-10.179596466438454,🟢 In Line,1.9459101490553132,1,5,10.255727677184748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2018,Pharma,23482.0,29162.63976466381,20876.210578692728,40738.21514866166,-19.47916858866462,🟡 Below Market,2.302585092994046,1,6,10.09921879624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2019,Pharma,26075.0,24906.849875723095,17829.683699879435,34793.16746017219,4.690075742639417,🟢 In Line,1.9459101490553132,1,7,10.063989449190156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2020,Pharma,15951.0,23346.52102141324,16712.715071612372,32613.494663659403,-31.677186569382766,🟡 Below Market,1.6094379124341003,1,8,10.168732279868973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2021,Pharma,27936.0,19067.413373759187,13649.496067358756,26635.873659485405,46.511744683974136,🔴 Significantly Overpaid,1.791759469228055,1,9,9.677276802172448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bayer,2022,Pharma,28016.0,27164.735301694862,19446.001426790506,37947.27912518407,3.1337124726263244,🟢 In Line,1.791759469228055,1,10,10.237671458639328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
